trial,choice,outcome,epsilon,ev_chosen,ev_optimal,is_optimal,agent_id,agent_type
16,risky,500.0,0.370561198961545,32.5,32.5,True,adaptive_ai_002,adaptive_ai
17,risky,100.0,0.3549272448054493,85.0,85.0,True,adaptive_ai_002,adaptive_ai
18,safe,10.0,0.34005576759087586,10.0,10.0,True,adaptive_ai_002,adaptive_ai
19,safe,-30.0,0.32590958087858174,-30.0,-30.0,True,adaptive_ai_002,adaptive_ai
20,safe,30.0,0.3124533118333665,30.0,40.0,False,adaptive_ai_002,adaptive_ai
21,risky,500.0,0.29965331277355967,32.5,32.5,True,adaptive_ai_002,adaptive_ai
22,risky,100.0,0.2874775770342899,85.0,85.0,True,adaptive_ai_002,adaptive_ai
23,safe,10.0,0.2758956589341515,10.0,10.0,True,adaptive_ai_002,adaptive_ai
24,safe,-30.0,0.26487859764514254,-30.0,-30.0,True,adaptive_ai_002,adaptive_ai
25,safe,30.0,0.25439884477550945,30.0,40.0,False,adaptive_ai_002,adaptive_ai
26,risky,-50.0,0.24443019548441863,32.5,32.5,True,adaptive_ai_002,adaptive_ai
27,risky,100.0,0.2349477229562048,85.0,85.0,True,adaptive_ai_002,adaptive_ai
28,safe,10.0,0.22592771607034817,10.0,10.0,True,adaptive_ai_002,adaptive_ai
29,safe,-30.0,0.21734762011132236,-30.0,-30.0,True,adaptive_ai_002,adaptive_ai
30,safe,30.0,0.20918598037005726,30.0,40.0,False,adaptive_ai_002,adaptive_ai
31,risky,-50.0,0.20142238849599153,32.5,32.5,True,adaptive_ai_002,adaptive_ai
32,risky,100.0,0.19403743146556557,85.0,85.0,True,adaptive_ai_002,adaptive_ai
33,safe,10.0,0.18701264303955095,10.0,10.0,True,adaptive_ai_002,adaptive_ai
34,safe,-30.0,0.18033045758783384,-30.0,-30.0,True,adaptive_ai_002,adaptive_ai
35,safe,30.0,0.17397416616618988,30.0,40.0,False,adaptive_ai_002,adaptive_ai
36,safe,20.0,0.1679278747352207,20.0,32.5,False,adaptive_ai_002,adaptive_ai
37,risky,100.0,0.16217646441697628,85.0,85.0,True,adaptive_ai_002,adaptive_ai
38,safe,10.0,0.15670555368988515,10.0,10.0,True,adaptive_ai_002,adaptive_ai
39,safe,-30.0,0.15150146242745954,-30.0,-30.0,True,adaptive_ai_002,adaptive_ai
40,safe,30.0,0.14655117769085313,30.0,40.0,False,adaptive_ai_002,adaptive_ai
41,risky,-50.0,0.14184232118973644,32.5,32.5,True,adaptive_ai_002,adaptive_ai
42,risky,100.0,0.1373631183301227,85.0,85.0,True,adaptive_ai_002,adaptive_ai
43,safe,10.0,0.1331023687717504,10.0,10.0,True,adaptive_ai_002,adaptive_ai
44,safe,-30.0,0.12904941842139825,-30.0,-30.0,True,adaptive_ai_002,adaptive_ai
45,safe,30.0,0.12519413279210279,30.0,40.0,False,adaptive_ai_002,adaptive_ai
46,risky,-50.0,0.12152687166166222,32.5,32.5,True,adaptive_ai_002,adaptive_ai
47,risky,100.0,0.11803846496705936,85.0,85.0,True,adaptive_ai_002,adaptive_ai
48,safe,10.0,0.11472018987452788,10.0,10.0,True,adaptive_ai_002,adaptive_ai
